title,artist,composer,genre,massFunction,liturgicalTime,source,hasAudio,duration
"Glória a Deus 29","Ministério de Música Paroquial 29","Tradicional",louvor,gloria,comum,Palco MP3,true,268
"Glória a Deus 30","Ministério de Música Paroquial 30","Tradicional",louvor,gloria,comum,Palco MP3,true,269
"Glória a Deus 31","Ministério de Música Paroquial 31","Tradicional",louvor,gloria,comum,Palco MP3,true,270
"Glória a Deus 32","Ministério de Música Paroquial 32","Tradicional",louvor,gloria,comum,Palco MP3,true,271
"Glória a Deus 33","Ministério de Música Paroquial 33","Tradicional",louvor,gloria,comum,Palco MP3,true,272
"Glória a Deus 34","Ministério de Música Paroquial 34","Tradicional",louvor,gloria,comum,Palco MP3,true,273
"Glória a Deus 35","Ministério de Música Paroquial 35","Tradicional",louvor,gloria,comum,Palco MP3,true,274
"Glória a Deus 36","Ministério de Música Paroquial 36","Tradicional",louvor,gloria,comum,Palco MP3,true,275
"Glória a Deus 37","Ministério de Música Paroquial 37","Tradicional",louvor,gloria,comum,Palco MP3,true,276
"Glória a Deus 38","Ministério de Música Paroquial 38","Tradicional",louvor,gloria,comum,Palco MP3,true,277
"Glória a Deus 39","Ministério de Música Paroquial 39","Tradicional",louvor,gloria,comum,Palco MP3,true,278
"Glória a Deus 40","Ministério de Música Paroquial 40","Tradicional",louvor,gloria,comum,Palco MP3,true,279
"Glória a Deus 41","Ministério de Música Paroquial 41","Tradicional",louvor,gloria,comum,Palco MP3,true,280
"Glória a Deus 42","Ministério de Música Paroquial 42","Tradicional",louvor,gloria,comum,Palco MP3,true,281
"Glória a Deus 43","Ministério de Música Paroquial 43","Tradicional",louvor,gloria,comum,Palco MP3,true,282
"Glória a Deus 44","Ministério de Música Paroquial 44","Tradicional",louvor,gloria,comum,Palco MP3,true,283
"Glória a Deus 45","Ministério de Música Paroquial 45","Tradicional",louvor,gloria,comum,Palco MP3,true,284
"Glória a Deus 46","Ministério de Música Paroquial 46","Tradicional",louvor,gloria,comum,Palco MP3,true,285
"Glória a Deus 47","Ministério de Música Paroquial 47","Tradicional",louvor,gloria,comum,Palco MP3,true,286
"Glória a Deus 48","Ministério de Música Paroquial 48","Tradicional",louvor,gloria,comum,Palco MP3,true,287
"Glória a Deus 49","Ministério de Música Paroquial 49","Tradicional",louvor,gloria,comum,Palco MP3,true,288
"Glória a Deus 50","Ministério de Música Paroquial 50","Tradicional",louvor,gloria,comum,Palco MP3,true,289
"Senhor, Tende Piedade 1","Coro Paroquial 1","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,150
"Senhor, Tende Piedade 2","Coro Paroquial 2","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,151
"Senhor, Tende Piedade 3","Coro Paroquial 3","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,152
"Senhor, Tende Piedade 4","Coro Paroquial 4","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,153
"Senhor, Tende Piedade 5","Coro Paroquial 5","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,154
"Senhor, Tende Piedade 6","Coro Paroquial 6","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,155
"Senhor, Tende Piedade 7","Coro Paroquial 7","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,156
"Senhor, Tende Piedade 8","Coro Paroquial 8","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,157
"Senhor, Tende Piedade 9","Coro Paroquial 9","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,158
"Senhor, Tende Piedade 10","Coro Paroquial 10","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,159
"Senhor, Tende Piedade 11","Coro Paroquial 11","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,160
"Senhor, Tende Piedade 12","Coro Paroquial 12","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,161
"Senhor, Tende Piedade 13","Coro Paroquial 13","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,162
"Senhor, Tende Piedade 14","Coro Paroquial 14","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,163
"Senhor, Tende Piedade 15","Coro Paroquial 15","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,164
"Senhor, Tende Piedade 16","Coro Paroquial 16","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,165
"Senhor, Tende Piedade 17","Coro Paroquial 17","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,166
"Senhor, Tende Piedade 18","Coro Paroquial 18","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,167
"Senhor, Tende Piedade 19","Coro Paroquial 19","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,168
"Senhor, Tende Piedade 20","Coro Paroquial 20","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,169
"Senhor, Tende Piedade 21","Coro Paroquial 21","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,170
"Senhor, Tende Piedade 22","Coro Paroquial 22","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,171
"Senhor, Tende Piedade 23","Coro Paroquial 23","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,172
"Senhor, Tende Piedade 24","Coro Paroquial 24","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,173
"Senhor, Tende Piedade 25","Coro Paroquial 25","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,174
"Senhor, Tende Piedade 26","Coro Paroquial 26","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,175
"Senhor, Tende Piedade 27","Coro Paroquial 27","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,176
"Senhor, Tende Piedade 28","Coro Paroquial 28","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,177
"Senhor, Tende Piedade 29","Coro Paroquial 29","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,178
"Senhor, Tende Piedade 30","Coro Paroquial 30","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,179
"Senhor, Tende Piedade 31","Coro Paroquial 31","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,180
"Senhor, Tende Piedade 32","Coro Paroquial 32","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,181
"Senhor, Tende Piedade 33","Coro Paroquial 33","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,182
"Senhor, Tende Piedade 34","Coro Paroquial 34","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,183
"Senhor, Tende Piedade 35","Coro Paroquial 35","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,184
"Senhor, Tende Piedade 36","Coro Paroquial 36","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,185
"Senhor, Tende Piedade 37","Coro Paroquial 37","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,186
"Senhor, Tende Piedade 38","Coro Paroquial 38","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,187
"Senhor, Tende Piedade 39","Coro Paroquial 39","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,188
"Senhor, Tende Piedade 40","Coro Paroquial 40","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,189
"Senhor, Tende Piedade 41","Coro Paroquial 41","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,190
"Senhor, Tende Piedade 42","Coro Paroquial 42","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,191
"Senhor, Tende Piedade 43","Coro Paroquial 43","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,192
"Senhor, Tende Piedade 44","Coro Paroquial 44","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,193
"Senhor, Tende Piedade 45","Coro Paroquial 45","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,194
"Senhor, Tende Piedade 46","Coro Paroquial 46","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,195
"Senhor, Tende Piedade 47","Coro Paroquial 47","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,196
"Senhor, Tende Piedade 48","Coro Paroquial 48","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,197
"Senhor, Tende Piedade 49","Coro Paroquial 49","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,198
"Senhor, Tende Piedade 50","Coro Paroquial 50","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,199
"Senhor, Tende Piedade 51","Coro Paroquial 51","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,200
"Senhor, Tende Piedade 52","Coro Paroquial 52","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,201
"Senhor, Tende Piedade 53","Coro Paroquial 53","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,202
"Senhor, Tende Piedade 54","Coro Paroquial 54","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,203
"Senhor, Tende Piedade 55","Coro Paroquial 55","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,204
"Senhor, Tende Piedade 56","Coro Paroquial 56","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,205
"Senhor, Tende Piedade 57","Coro Paroquial 57","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,206
"Senhor, Tende Piedade 58","Coro Paroquial 58","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,207
"Senhor, Tende Piedade 59","Coro Paroquial 59","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,208
"Senhor, Tende Piedade 60","Coro Paroquial 60","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,209
"Senhor, Tende Piedade 61","Coro Paroquial 61","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,210
"Senhor, Tende Piedade 62","Coro Paroquial 62","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,211
"Senhor, Tende Piedade 63","Coro Paroquial 63","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,212
"Senhor, Tende Piedade 64","Coro Paroquial 64","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,213
"Senhor, Tende Piedade 65","Coro Paroquial 65","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,214
"Senhor, Tende Piedade 66","Coro Paroquial 66","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,215
"Senhor, Tende Piedade 67","Coro Paroquial 67","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,216
"Senhor, Tende Piedade 68","Coro Paroquial 68","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,217
"Senhor, Tende Piedade 69","Coro Paroquial 69","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,218
"Senhor, Tende Piedade 70","Coro Paroquial 70","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,219
"Senhor, Tende Piedade 71","Coro Paroquial 71","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,220
"Senhor, Tende Piedade 72","Coro Paroquial 72","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,221
"Senhor, Tende Piedade 73","Coro Paroquial 73","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,222
"Senhor, Tende Piedade 74","Coro Paroquial 74","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,223
"Senhor, Tende Piedade 75","Coro Paroquial 75","Tradicional",liturgica,ato_penitencial,comum,Liturgia.pt,true,224
"Salmo Responsorial 1","Ensemble Litúrgico 1","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,180
"Salmo Responsorial 2","Ensemble Litúrgico 2","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,181
"Salmo Responsorial 3","Ensemble Litúrgico 3","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,182
"Salmo Responsorial 4","Ensemble Litúrgico 4","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,183
"Salmo Responsorial 5","Ensemble Litúrgico 5","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,184
"Salmo Responsorial 6","Ensemble Litúrgico 6","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,185
"Salmo Responsorial 7","Ensemble Litúrgico 7","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,186
"Salmo Responsorial 8","Ensemble Litúrgico 8","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,187
"Salmo Responsorial 9","Ensemble Litúrgico 9","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,188
"Salmo Responsorial 10","Ensemble Litúrgico 10","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,189
"Salmo Responsorial 11","Ensemble Litúrgico 11","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,190
"Salmo Responsorial 12","Ensemble Litúrgico 12","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,191
"Salmo Responsorial 13","Ensemble Litúrgico 13","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,192
"Salmo Responsorial 14","Ensemble Litúrgico 14","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,193
"Salmo Responsorial 15","Ensemble Litúrgico 15","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,194
"Salmo Responsorial 16","Ensemble Litúrgico 16","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,195
"Salmo Responsorial 17","Ensemble Litúrgico 17","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,196
"Salmo Responsorial 18","Ensemble Litúrgico 18","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,197
"Salmo Responsorial 19","Ensemble Litúrgico 19","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,198
"Salmo Responsorial 20","Ensemble Litúrgico 20","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,199
"Salmo Responsorial 21","Ensemble Litúrgico 21","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,200
"Salmo Responsorial 22","Ensemble Litúrgico 22","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,201
"Salmo Responsorial 23","Ensemble Litúrgico 23","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,202
"Salmo Responsorial 24","Ensemble Litúrgico 24","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,203
"Salmo Responsorial 25","Ensemble Litúrgico 25","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,204
"Salmo Responsorial 26","Ensemble Litúrgico 26","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,205
"Salmo Responsorial 27","Ensemble Litúrgico 27","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,206
"Salmo Responsorial 28","Ensemble Litúrgico 28","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,207
"Salmo Responsorial 29","Ensemble Litúrgico 29","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,208
"Salmo Responsorial 30","Ensemble Litúrgico 30","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,209
"Salmo Responsorial 31","Ensemble Litúrgico 31","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,210
"Salmo Responsorial 32","Ensemble Litúrgico 32","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,211
"Salmo Responsorial 33","Ensemble Litúrgico 33","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,212
"Salmo Responsorial 34","Ensemble Litúrgico 34","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,213
"Salmo Responsorial 35","Ensemble Litúrgico 35","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,214
"Salmo Responsorial 36","Ensemble Litúrgico 36","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,215
"Salmo Responsorial 37","Ensemble Litúrgico 37","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,216
"Salmo Responsorial 38","Ensemble Litúrgico 38","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,217
"Salmo Responsorial 39","Ensemble Litúrgico 39","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,218
"Salmo Responsorial 40","Ensemble Litúrgico 40","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,219
"Salmo Responsorial 41","Ensemble Litúrgico 41","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,220
"Salmo Responsorial 42","Ensemble Litúrgico 42","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,221
"Salmo Responsorial 43","Ensemble Litúrgico 43","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,222
"Salmo Responsorial 44","Ensemble Litúrgico 44","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,223
"Salmo Responsorial 45","Ensemble Litúrgico 45","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,224
"Salmo Responsorial 46","Ensemble Litúrgico 46","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,225
"Salmo Responsorial 47","Ensemble Litúrgico 47","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,226
"Salmo Responsorial 48","Ensemble Litúrgico 48","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,227
"Salmo Responsorial 49","Ensemble Litúrgico 49","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,228
"Salmo Responsorial 50","Ensemble Litúrgico 50","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,229
"Salmo Responsorial 51","Ensemble Litúrgico 51","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,230
"Salmo Responsorial 52","Ensemble Litúrgico 52","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,231
"Salmo Responsorial 53","Ensemble Litúrgico 53","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,232
"Salmo Responsorial 54","Ensemble Litúrgico 54","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,233
"Salmo Responsorial 55","Ensemble Litúrgico 55","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,234
"Salmo Responsorial 56","Ensemble Litúrgico 56","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,235
"Salmo Responsorial 57","Ensemble Litúrgico 57","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,236
"Salmo Responsorial 58","Ensemble Litúrgico 58","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,237
"Salmo Responsorial 59","Ensemble Litúrgico 59","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,238
"Salmo Responsorial 60","Ensemble Litúrgico 60","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,239
"Salmo Responsorial 61","Ensemble Litúrgico 61","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,240
"Salmo Responsorial 62","Ensemble Litúrgico 62","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,241
"Salmo Responsorial 63","Ensemble Litúrgico 63","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,242
"Salmo Responsorial 64","Ensemble Litúrgico 64","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,243
"Salmo Responsorial 65","Ensemble Litúrgico 65","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,244
"Salmo Responsorial 66","Ensemble Litúrgico 66","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,245
"Salmo Responsorial 67","Ensemble Litúrgico 67","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,246
"Salmo Responsorial 68","Ensemble Litúrgico 68","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,247
"Salmo Responsorial 69","Ensemble Litúrgico 69","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,248
"Salmo Responsorial 70","Ensemble Litúrgico 70","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,249
"Salmo Responsorial 71","Ensemble Litúrgico 71","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,250
"Salmo Responsorial 72","Ensemble Litúrgico 72","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,251
"Salmo Responsorial 73","Ensemble Litúrgico 73","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,252
"Salmo Responsorial 74","Ensemble Litúrgico 74","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,253
"Salmo Responsorial 75","Ensemble Litúrgico 75","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,254
"Salmo Responsorial 76","Ensemble Litúrgico 76","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,255
"Salmo Responsorial 77","Ensemble Litúrgico 77","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,256
"Salmo Responsorial 78","Ensemble Litúrgico 78","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,257
"Salmo Responsorial 79","Ensemble Litúrgico 79","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,258
"Salmo Responsorial 80","Ensemble Litúrgico 80","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,259
"Salmo Responsorial 81","Ensemble Litúrgico 81","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,260
"Salmo Responsorial 82","Ensemble Litúrgico 82","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,261
"Salmo Responsorial 83","Ensemble Litúrgico 83","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,262
"Salmo Responsorial 84","Ensemble Litúrgico 84","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,263
"Salmo Responsorial 85","Ensemble Litúrgico 85","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,264
"Salmo Responsorial 86","Ensemble Litúrgico 86","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,265
"Salmo Responsorial 87","Ensemble Litúrgico 87","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,266
"Salmo Responsorial 88","Ensemble Litúrgico 88","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,267
"Salmo Responsorial 89","Ensemble Litúrgico 89","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,268
"Salmo Responsorial 90","Ensemble Litúrgico 90","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,269
"Salmo Responsorial 91","Ensemble Litúrgico 91","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,270
"Salmo Responsorial 92","Ensemble Litúrgico 92","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,271
"Salmo Responsorial 93","Ensemble Litúrgico 93","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,272
"Salmo Responsorial 94","Ensemble Litúrgico 94","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,273
"Salmo Responsorial 95","Ensemble Litúrgico 95","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,274
"Salmo Responsorial 96","Ensemble Litúrgico 96","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,275
"Salmo Responsorial 97","Ensemble Litúrgico 97","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,276
"Salmo Responsorial 98","Ensemble Litúrgico 98","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,277
"Salmo Responsorial 99","Ensemble Litúrgico 99","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,278
"Salmo Responsorial 100","Ensemble Litúrgico 100","Tradicional",liturgica,salmo,comum,Musicanaliturgia,true,279
"Instrumental Contemplativo 1","Pixabay Music","Various",instrumental,ofertorio,comum,Pixabay,true,300
"Instrumental Contemplativo 2","Pixabay Music","Various",instrumental,ofertorio,comum,Pixabay,true,301
"Instrumental Contemplativo 3","Pixabay Music","Various",instrumental,ofertorio,comum,Pixabay,true,302
"Instrumental Contemplativo 4","Pixabay Music","Various",instrumental,ofertorio,comum,Pixabay,true,303
"Instrumental Contemplativo 5","Pixabay Music","Various",instrumental,ofertorio,comum,Pixabay,true,304
"Instrumental Contemplativo 6","Pixabay Music","Various",instrumental,ofertorio,comum,Pixabay,true,305
"Instrumental Contemplativo 7","Pixabay Music","Various",instrumental,ofertorio,comum,Pixabay,true,306
"Instrumental Contemplativo 8","Pixabay Music","Various",instrumental,ofertorio,comum,Pixabay,true,307
"Instrumental Contemplativo 9","Pixabay Music","Various",instrumental,ofertorio,comum,Pixabay,true,308
"Instrumental Contemplativo 10","Pixabay Music","Various",instrumental,ofertorio,comum,Pixabay,true,309
"Instrumental Contemplativo 11","Pixabay Music","Various",instrumental,ofertorio,comum,Pixabay,true,310
"Instrumental Contemplativo 12","Pixabay Music","Various",instrumental,ofertorio,comum,Pixabay,true,311
"Instrumental Contemplativo 13","Pixabay Music","Various",instrumental,ofertorio,comum,Pixabay,true,312
